Time[s], RIGHT, LEFT, BACK, FWD, SO
3.673627, 1, 1, 1, 0, 1
3.673961, 1, 1, 1, 0, 0
3.674291, 1, 1, 1, 0, 1
3.674624, 1, 1, 1, 0, 0
3.674954, 1, 1, 1, 0, 1
3.675287, 1, 1, 1, 0, 0
3.675618, 1, 1, 1, 0, 1
3.675951, 1, 1, 1, 0, 0
3.676281, 1, 1, 1, 0, 1
3.676614, 1, 1, 1, 0, 0
3.676944, 1, 1, 1, 0, 1
3.677277, 1, 1, 1, 0, 0
3.677608, 1, 1, 1, 0, 1
3.678607, 1, 1, 1, 0, 0
3.678937, 1, 1, 1, 0, 1
3.679936, 1, 1, 1, 0, 0
3.680266, 1, 1, 1, 0, 1
3.681266, 1, 1, 1, 0, 0
3.681596, 1, 1, 1, 0, 1
3.682595, 1, 1, 1, 0, 0
3.682925, 1, 1, 1, 0, 1
3.683258, 1, 1, 1, 0, 0
3.683589, 1, 1, 1, 0, 1
3.683922, 1, 1, 1, 0, 0
3.684252, 1, 1, 1, 0, 1
3.684585, 1, 1, 1, 0, 0
3.684915, 1, 1, 1, 0, 1
3.685248, 1, 1, 1, 0, 0
3.685579, 1, 1, 1, 0, 1
3.685912, 1, 1, 1, 0, 0
3.686242, 1, 1, 1, 0, 1
3.686575, 1, 1, 1, 0, 0
3.686905, 1, 1, 1, 0, 1
3.687238, 1, 1, 1, 0, 0
3.687569, 1, 1, 1, 0, 1
3.687902, 1, 1, 1, 0, 0
3.688232, 1, 1, 1, 0, 1
3.688565, 1, 1, 1, 0, 0
3.688895, 1, 1, 1, 0, 1
3.689228, 1, 1, 1, 0, 0
3.689559, 1, 1, 1, 0, 1
3.690558, 1, 1, 1, 0, 0
3.690888, 1, 1, 1, 0, 1
3.691887, 1, 1, 1, 0, 0
3.692218, 1, 1, 1, 0, 1
3.693217, 1, 1, 1, 0, 0
3.693547, 1, 1, 1, 0, 1
3.694546, 1, 1, 1, 0, 0
3.694877, 1, 1, 1, 0, 1
3.69521, 1, 1, 1, 0, 0
3.69554, 1, 1, 1, 0, 1
3.695873, 1, 1, 1, 0, 0
3.696203, 1, 1, 1, 0, 1
3.696536, 1, 1, 1, 0, 0
3.696867, 1, 1, 1, 0, 1
3.6972, 1, 1, 1, 0, 0
3.69753, 1, 1, 1, 0, 1
3.697863, 1, 1, 1, 0, 0
3.698193, 1, 1, 1, 0, 1
3.698526, 1, 1, 1, 0, 0
3.698857, 1, 1, 1, 0, 1
3.69919, 1, 1, 1, 0, 0
3.69952, 1, 1, 1, 0, 1
3.699853, 1, 1, 1, 0, 0
3.700183, 1, 1, 1, 0, 1
3.700516, 1, 1, 1, 0, 0
3.700846, 1, 1, 1, 0, 1
3.70118, 1, 1, 1, 0, 0
3.70151, 1, 1, 1, 0, 1
3.702509, 1, 1, 1, 0, 0
3.702839, 1, 1, 1, 0, 1
3.703838, 1, 1, 1, 0, 0
3.704169, 1, 1, 1, 0, 1
3.705168, 1, 1, 1, 0, 0
3.705498, 1, 1, 1, 0, 1
3.706497, 1, 1, 1, 0, 0
3.706828, 1, 1, 1, 0, 1
3.707161, 1, 1, 1, 0, 0
3.707491, 1, 1, 1, 0, 1
3.707824, 1, 1, 1, 0, 0
3.708154, 1, 1, 1, 0, 1
3.708487, 1, 1, 1, 0, 0
3.708818, 1, 1, 1, 0, 1
3.709151, 1, 1, 1, 0, 0
3.709481, 1, 1, 1, 0, 1
3.709814, 1, 1, 1, 0, 0
3.710144, 1, 1, 1, 0, 1
3.710477, 1, 1, 1, 0, 0
3.710808, 1, 1, 1, 0, 1
3.711141, 1, 1, 1, 0, 0
3.711471, 1, 1, 1, 0, 1
3.711804, 1, 1, 1, 0, 0
3.712134, 1, 1, 1, 0, 1
3.712467, 1, 1, 1, 0, 0
3.712798, 1, 1, 1, 0, 1
3.713131, 1, 1, 1, 0, 0
3.713461, 1, 1, 1, 0, 1
3.71446, 1, 1, 1, 0, 0
3.714791, 1, 1, 1, 0, 1
3.71579, 1, 1, 1, 0, 0
3.71612, 1, 1, 1, 0, 1
3.717119, 1, 1, 1, 0, 0
3.71745, 1, 1, 1, 0, 1
3.718449, 1, 1, 1, 0, 0
3.718779, 1, 1, 1, 0, 1
3.719112, 1, 1, 1, 0, 0
3.719443, 1, 1, 1, 0, 1
3.719776, 1, 1, 1, 0, 0
3.720106, 1, 1, 1, 0, 1
3.720439, 1, 1, 1, 0, 0
3.720769, 1, 1, 1, 0, 1
3.721102, 1, 1, 1, 0, 0
3.721433, 1, 1, 1, 0, 1
3.721766, 1, 1, 1, 0, 0
3.722096, 1, 1, 1, 0, 1
3.722429, 1, 1, 1, 0, 0
3.722759, 1, 1, 1, 0, 1
3.723092, 1, 1, 1, 0, 0
3.723423, 1, 1, 1, 0, 1
3.723756, 1, 1, 1, 0, 0
3.724086, 1, 1, 1, 0, 1
3.724419, 1, 1, 1, 0, 0
3.72475, 1, 1, 1, 0, 1
3.725083, 1, 1, 1, 0, 0
3.725413, 1, 1, 1, 0, 1
3.726412, 1, 1, 1, 0, 0
3.726742, 1, 1, 1, 0, 1
3.727742, 1, 1, 1, 0, 0
3.728072, 1, 1, 1, 0, 1
3.729071, 1, 1, 1, 0, 0
3.729402, 1, 1, 1, 0, 1
3.730401, 1, 1, 1, 0, 0
3.730731, 1, 1, 1, 0, 1
3.731065, 1, 1, 1, 0, 0
3.731395, 1, 1, 1, 0, 1
3.731728, 1, 1, 1, 0, 0
3.732058, 1, 1, 1, 0, 1
3.732391, 1, 1, 1, 0, 0
3.732722, 1, 1, 1, 0, 1
3.733055, 1, 1, 1, 0, 0
3.733385, 1, 1, 1, 0, 1
3.733718, 1, 1, 1, 0, 0
3.734048, 1, 1, 1, 0, 1
3.734381, 1, 1, 1, 0, 0
3.734712, 1, 1, 1, 0, 1
3.735045, 1, 1, 1, 0, 0
3.735375, 1, 1, 1, 0, 1
3.735708, 1, 1, 1, 0, 0
3.736039, 1, 1, 1, 0, 1
3.736372, 1, 1, 1, 0, 0
3.736702, 1, 1, 1, 0, 1
3.737035, 1, 1, 1, 0, 0
3.737365, 1, 1, 1, 0, 1
3.738365, 1, 1, 1, 0, 0
3.738695, 1, 1, 1, 0, 1
3.739694, 1, 1, 1, 0, 0
3.740025, 1, 1, 1, 0, 1
3.741024, 1, 1, 1, 0, 0
3.741354, 1, 1, 1, 0, 1
3.742354, 1, 1, 1, 0, 0
3.742684, 1, 1, 1, 0, 1
3.743017, 1, 1, 1, 0, 0
3.743347, 1, 1, 1, 0, 1
3.74368, 1, 1, 1, 0, 0
3.744011, 1, 1, 1, 0, 1
3.744344, 1, 1, 1, 0, 0
3.744674, 1, 1, 1, 0, 1
3.745007, 1, 1, 1, 0, 0
3.745338, 1, 1, 1, 0, 1
3.745671, 1, 1, 1, 0, 0
3.746001, 1, 1, 1, 0, 1
3.746334, 1, 1, 1, 0, 0
3.746664, 1, 1, 1, 0, 1
3.746997, 1, 1, 1, 0, 0
3.747328, 1, 1, 1, 0, 1
3.747661, 1, 1, 1, 0, 0
3.747991, 1, 1, 1, 0, 1
3.748324, 1, 1, 1, 0, 0
3.748654, 1, 1, 1, 0, 1
3.748988, 1, 1, 1, 0, 0
3.749318, 1, 1, 1, 0, 1
3.750317, 1, 1, 1, 0, 0
3.750647, 1, 1, 1, 0, 1
3.751647, 1, 1, 1, 0, 0
3.751977, 1, 1, 1, 0, 1
3.752976, 1, 1, 1, 0, 0
3.753307, 1, 1, 1, 0, 1
3.754306, 1, 1, 1, 0, 0
3.754636, 1, 1, 1, 0, 1
3.75497, 1, 1, 1, 0, 0
3.7553, 1, 1, 1, 0, 1
3.755633, 1, 1, 1, 0, 0
3.755963, 1, 1, 1, 0, 1
3.756296, 1, 1, 1, 0, 0
3.756627, 1, 1, 1, 0, 1
3.75696, 1, 1, 1, 0, 0
3.75729, 1, 1, 1, 0, 1
3.757623, 1, 1, 1, 0, 0
3.757953, 1, 1, 1, 0, 1
3.758286, 1, 1, 1, 0, 0
3.758617, 1, 1, 1, 0, 1
3.75895, 1, 1, 1, 0, 0
3.75928, 1, 1, 1, 0, 1
3.759613, 1, 1, 1, 0, 0
3.759943, 1, 1, 1, 0, 1
3.760276, 1, 1, 1, 0, 0
3.760607, 1, 1, 1, 0, 1
3.76094, 1, 1, 1, 0, 0
3.76127, 1, 1, 1, 0, 1
3.762269, 1, 1, 1, 0, 0
3.7626, 1, 1, 1, 0, 1
3.763599, 1, 1, 1, 0, 0
3.763929, 1, 1, 1, 0, 1
3.764928, 1, 1, 1, 0, 0
3.765259, 1, 1, 1, 0, 1
3.766258, 1, 1, 1, 0, 0
3.766588, 1, 1, 1, 0, 1
3.766921, 1, 1, 1, 0, 0
3.767251, 1, 1, 1, 0, 1
3.767584, 1, 1, 1, 0, 0
3.767915, 1, 1, 1, 0, 1
3.768248, 1, 1, 1, 0, 0
3.768578, 1, 1, 1, 0, 1
3.768911, 1, 1, 1, 0, 0
3.769241, 1, 1, 1, 0, 1
3.769574, 1, 1, 1, 0, 0
3.769905, 1, 1, 1, 0, 1
3.770238, 1, 1, 1, 0, 0
3.770568, 1, 1, 1, 0, 1
3.770901, 1, 1, 1, 0, 0
3.771231, 1, 1, 1, 0, 1
3.771564, 1, 1, 1, 0, 0
3.771895, 1, 1, 1, 0, 1
3.772228, 1, 1, 1, 0, 0
3.772558, 1, 1, 1, 0, 1
3.772891, 1, 1, 1, 0, 0
3.773221, 1, 1, 1, 0, 1
3.774221, 1, 1, 1, 0, 0
3.774551, 1, 1, 1, 0, 1
3.77555, 1, 1, 1, 0, 0
3.775881, 1, 1, 1, 0, 1
3.77688, 1, 1, 1, 0, 0
3.77721, 1, 1, 1, 0, 1
3.77821, 1, 1, 1, 0, 0
3.77854, 1, 1, 1, 0, 1
3.778873, 1, 1, 1, 0, 0
3.779203, 1, 1, 1, 0, 1
3.779536, 1, 1, 1, 0, 0
3.779867, 1, 1, 1, 0, 1
3.7802, 1, 1, 1, 0, 0
3.78053, 1, 1, 1, 0, 1
3.780863, 1, 1, 1, 0, 0
3.781193, 1, 1, 1, 0, 1
3.781527, 1, 1, 1, 0, 0
3.781857, 1, 1, 1, 0, 1
3.78219, 1, 1, 1, 0, 0
3.78252, 1, 1, 1, 0, 1
3.782853, 1, 1, 1, 0, 0
3.783184, 1, 1, 1, 0, 1
3.783517, 1, 1, 1, 0, 0
3.783847, 1, 1, 1, 0, 1
3.78418, 1, 1, 1, 0, 0
3.78451, 1, 1, 1, 0, 1
3.784843, 1, 1, 1, 0, 0
3.785174, 1, 1, 1, 0, 1
3.786173, 1, 1, 1, 0, 0
3.786503, 1, 1, 1, 0, 1
3.787503, 1, 1, 1, 0, 0
3.787833, 1, 1, 1, 0, 1
3.788833, 1, 1, 1, 0, 0
3.789163, 1, 1, 1, 0, 1
3.790162, 1, 1, 1, 0, 0
3.790493, 1, 1, 1, 0, 1
3.790826, 1, 1, 1, 0, 0
3.791156, 1, 1, 1, 0, 1
3.791489, 1, 1, 1, 0, 0
3.79182, 1, 1, 1, 0, 1
3.792153, 1, 1, 1, 0, 0
3.792483, 1, 1, 1, 0, 1
3.792816, 1, 1, 1, 0, 0
3.793147, 1, 1, 1, 0, 1
3.79348, 1, 1, 1, 0, 0
3.79381, 1, 1, 1, 0, 1
3.794143, 1, 1, 1, 0, 0
3.794474, 1, 1, 1, 0, 1
3.794807, 1, 1, 1, 0, 0
3.795137, 1, 1, 1, 0, 1
3.79547, 1, 1, 1, 0, 0
3.795801, 1, 1, 1, 0, 1
3.796134, 1, 1, 1, 0, 0
3.796464, 1, 1, 1, 0, 1
3.796797, 1, 1, 1, 0, 0
3.797127, 1, 1, 1, 0, 1
3.798127, 1, 1, 1, 0, 0
3.798457, 1, 1, 1, 0, 1
3.799457, 1, 1, 1, 0, 0
3.799787, 1, 1, 1, 0, 1
